id,rarity rank,background,gender,skin,tattoos,hat,hair,hairColor,clothes,bling,mouth,glass,facial
3644,4879,Sand,Male,Shade 4,None,None,Crew Cut,Red,Zip Up Hoodie,None,None,None,None
3645,1546,Deco,Male,Shade 4,None,Forwards Cap,Hat,Black,Leather Jacket,Pink Choker,None,Designer Shades,None
3646,4502,Green,Female,Shade 1,None,None,Mohawk,Brown,Hoodie,None,None,None,None
3647,3729,Sand,Male,Shade 4,None,None,Shaggy,Red,Button up,None,Cigarette,Designer Shades 2,None
3648,4202,Yellow,Male,Shade 4,None,None,Bald,Platinum,Shirtless,None,None,None,None
3649,3082,Orange,Male,Shade 7,None,None,Bowl Cut,Blonde,Turtleneck,None,Pipe,Reading Glasses,Quarter Goat
3650,4453,Pink,Female,Shade 6,None,None,Mohawk,Blonde,White Tee,None,None,None,None
3651,3137,Orange,Female,Shade 4,None,None,Mullet,Blonde,Turtleneck,None,Quellazaire,Designer Shades,None
3652,1736,Pink,Male,Shade 2,None,None,Crew Cut,Black,Hoodie,Pearl Necklace,Blunt,Designer Shades,Handlebars
3653,1104,Deco,Male,Shade 7,None,Forwards Cap,Hat,Platinum,Ripped Up Tee,Pink Choker,Wizard Pipe,None,Sideburns
3654,4254,Mauve,Male,Shade 3,None,None,Bald,Red,Shirtless,None,None,None,None
3655,1859,Yellow,Male,Shade 4,None,Winter Hat,Hat,Blonde,Hoodie,None,Septum Piercing,Shutter Shades,Half Goat
3656,2843,Orange,Female,Shade 1,None,None,Shaggy,Red,Striped Tee,Pearl Necklace,Blunt,None,None
3657,700,Deco,Female,Shade 6,None,Bucket Hat,Hat,Blonde,Cut Off Sleeves,Pearl Necklace,Pipe,Shutter Shades,None
3658,2996,Deco,Female,Shade 3,None,None,Mullet,Red,White Tank,Silver Cuban,None,Bridge Piercing,None
3659,24,Turquoise,Male,Zombie,None,Backwards Hat,Hat,Green,White Tank,Pink Choker,Wizard Pipe,3D Glasses,Pencil Jaw
3660,364,Mauve,Female,Shade 2,None,Horns,Hat,Blue,Cut Off Sleeves,Gold Cuban,Snake Bites,Sunglasses,None
3661,2725,Turquoise,Male,Shade 4,None,None,Crew Cut,Platinum,Camo Tee,None,Surgical Mask,Sunglasses,Quarter Goat
3662,3648,Green,Male,Shade 7,None,None,Crew Cut,Red,White Tee,Gold Cuban,Cigarette,None,None
3663,181,Mauve,Female,Shade 4,Street Tats,Beanie,Hat,Rainbow,Camo Tee,None,Septum Piercing,Sunglasses,None
3664,1617,Pink,Male,Shade 5,None,None,Bald,Red,Hoodie,Black Choker,Blunt,Sunglasses,Pencil Jaw
3665,748,Green,Male,Shade 6,None,Winter Hat,Hat,Black,Collard Tee,Black Choker,Cigarette,Designer Shades 2,Handlebars
3666,1242,Pine,Female,Shade 6,None,Forwards Cap,Hat,Brown,Zip Up Hoodie,Gold Cuban,Septum Piercing,Designer Shades 2,None
3667,2841,Yellow,Male,Shade 4,None,None,Shaggy,Black,Shirtless,None,Snake Bites,Steampunk Shades,5 o'clock
3668,2313,Sand,Female,Shade 6,None,Horns,Hat,Red,Zip Up Hoodie,None,Pipe,Sunglasses,None
3669,1296,Turquoise,Female,Shade 6,None,Forwards Cap,Hat,Pink,Dress,None,Cigarette,3D Glasses,None
3670,4356,Blue,Female,Shade 2,None,None,Top Dreads,Blonde,Zip Up Hoodie,None,None,None,None
3671,1076,Blue,Male,Shade 1,None,Bucket Hat,Hat,Blonde,Leather Jacket,Gold Cuban,Quellazaire,3D Glasses,None
3672,2288,Blue,Female,Shade 3,None,Beanie,Hat,Black,Zip Up Hoodie,None,Quellazaire,Sunglasses,None
3673,1147,Pine,Male,Shade 5,None,Bucket Hat,Hat,Red,Striped Tee,Bling,Septum Piercing,None,Handlebars
3674,811,Pine,Female,Shade 7,None,Beanie,Hat,Red,Dirty Tee,Pearl Necklace,Blunt,Sunglasses,None
3675,73,Pink,Male,Zombie,None,Cowboy Hat,Hat,Black,Cut Off Sleeves,Black Choker,Snake Bites,Eyepatch,Pencil Jaw
3676,1657,Pine,Female,Shade 3,None,None,Dreads,Blonde,Hawaiian Shirt,Black Choker,Blunt,Gold Piercings,None
3677,3473,Turquoise,Female,Shade 1,None,None,Shoulder Length,Blonde,Hoodie,None,Cigarette,Reading Glasses,None
3678,4830,Orange,Male,Shade 3,None,None,Mohawk,Blonde,Button up,None,None,None,None
3679,2601,Green,Male,Shade 3,None,None,Mullet,Black,Dirty Tee,Gold Cuban,Pipe,Bridge Piercing,None
3680,91,Mauve,Male,Zombie,None,Winter Hat,Hat,Rainbow,Leather Jacket,Gold Cuban,Blunt,Future Shades,None
3681,688,Light Purple,Male,Shade 4,None,Trucker Hat,Hat,Red,Ripped Up Tee,Silver Cuban,Septum Piercing,Designer Shades,Half Goat
3682,3973,Pine,Female,Shade 1,None,None,Shoulder Length,Blonde,Festival Top,None,None,None,None
3683,2892,Orange,Male,Shade 4,None,None,Crew Cut,Platinum,Zip Up Hoodie,Silver Cuban,None,Designer Shades 2,5 o'clock
3684,3834,Pine,Male,Shade 7,None,None,Shaggy,Black,Shirtless With Tats,None,None,Reading Glasses,None
3685,2828,Light Purple,Male,Shade 4,None,None,Top Dreads,Red,Zip Up Hoodie,Silver Cuban,Pipe,Reading Glasses,None
3686,2632,Light Purple,Male,Shade 6,None,None,Crew Cut,Black,Hoodie,Black Choker,Pipe,Gold Piercings,None
3687,2661,Sand,Male,Shade 2,None,None,Mullet,Brown,White Tank,Black Choker,Cigarette,Reading Glasses,None
3688,4029,Pine,Female,Shade 6,None,None,Bowl Cut,Brown,Festival Top,None,None,None,None
3689,2327,Pine,Male,Shade 4,None,None,Shaggy,Brown,Striped Tee,Black Choker,None,Gold Piercings,Half Goat
3690,3150,Sand,Male,Shade 3,None,None,Top Dreads,Black,White Tank,None,Cigarette,Bridge Piercing,Pencil Jaw
3691,2075,Turquoise,Female,Shade 3,None,None,Crew Cut,Red,Hawaiian Shirt,Gold Cuban,Blunt,Sunglasses,None
3692,2746,Turquoise,Male,Shade 6,None,None,Bald,Red,Shirtless With Tats,None,Pipe,Bridge Piercing,Quarter Goat
3693,3102,Sand,Female,Shade 6,None,None,Mullet,Black,Dress,None,Blunt,Designer Shades,None
3694,10,Pink,Female,Alien,Lazy Boy Tats,Cowboy Hat,Hat,Blonde,Striped Tee,Gold Cuban,Blunt,Steampunk Shades,None
3695,4330,Pink,Female,Shade 3,None,None,Top Dreads,Red,Zip Up Hoodie,None,None,None,None
3696,2250,Deco,Female,Shade 6,None,Cowboy Hat,Hat,Platinum,Zip Up Hoodie,None,Pipe,Sunglasses,None
3697,4954,Yellow,Male,Shade 6,None,None,Mohawk,Blonde,White Tee,None,None,None,None
3698,3692,Deco,Male,Shade 4,None,None,Mullet,Platinum,Shirtless With Tats,None,Vape,None,5 o'clock
3699,4255,Mauve,Female,Shade 1,None,None,Mullet,Platinum,White Tee,None,None,None,None
3700,936,Pine,Male,Shade 1,None,Beanie,Hat,Red,White Tank,Black Choker,Vape,Designer Shades 2,Full Goat
3701,4963,Light Purple,Male,Shade 3,None,None,Mohawk,Blonde,Hoodie,None,None,None,None
3702,864,Green,Female,Shade 4,None,Sweatband,Hat,Red,Dirty Tee,Pearl Necklace,Blunt,Designer Shades,None
3703,4967,Mauve,Male,Shade 3,None,None,Mohawk,Black,White Tank,None,None,None,None
3704,1705,Yellow,Male,Shade 5,None,None,Mohawk,Blonde,Zip Up Hoodie,Black Choker,Quellazaire,Sunglasses,Handlebars
3705,169,Mauve,Female,Shade 3,Street Tats,Sweatband,Hat,Blue,Striped Tee,None,Snake Bites,Shutter Shades,None
3706,2823,Light Purple,Male,Shade 4,None,None,Mohawk,Platinum,White Tee,Gold Cuban,Cigarette,Designer Shades 2,None
3707,4448,Green,Male,Shade 1,None,None,Mullet,Platinum,Shirtless,None,None,None,None
3708,3088,Sand,Male,Shade 2,None,None,Top Dreads,Red,Zip Up Hoodie,Silver Cuban,Septum Piercing,None,5 o'clock
3709,4568,Yellow,Male,Shade 4,None,None,Mohawk,Black,Rags,None,None,None,None
3710,2079,Turquoise,Female,Shade 6,None,Winter Hat,Hat,Black,Ripped Up Tee,None,Surgical Mask,Reading Glasses,None
3711,2774,Turquoise,Male,Shade 5,None,None,Buzzed Braids,Blonde,Turtleneck,None,Snake Bites,Steampunk Shades,Full Goat
3712,4411,Mauve,Female,Shade 6,None,None,Bowl Cut,Red,Zip Up Hoodie,None,None,None,None
3713,3674,Green,Male,Shade 4,None,None,Dreads,Black,Turtleneck,None,Snake Bites,None,Pencil Jaw
3714,3950,Green,Male,Shade 3,None,None,Mullet,Brown,Shirtless,None,Vape,None,None
3715,4357,Mauve,Female,Shade 3,None,None,Top Dreads,Red,White Tee,None,None,None,None
3716,3387,Turquoise,Male,Shade 5,None,None,Shaggy,Black,Zip Up Hoodie,None,Septum Piercing,Reading Glasses,5 o'clock
3717,4865,Pink,Male,Shade 6,None,None,Shaggy,Blonde,Hoodie,None,None,None,None
3718,3676,Blue,Female,Shade 1,None,None,Mullet,Platinum,Leather Jacket,None,None,Bridge Piercing,None
3719,1722,Lavender,Male,Shade 3,None,None,Buzzed Braids,Black,White Tee,Black Choker,Septum Piercing,Designer Shades,Quarter Goat
3720,821,Lavender,Female,Shade 5,None,Bucket Hat,Hat,Brown,Leather Jacket,Black Choker,Snake Bites,Reading Glasses,None
3721,4509,Pink,Male,Shade 5,None,None,Bowl Cut,Black,Shirtless,None,None,None,None
3722,96,Lavender,Male,Shade 4,Lazy Boy Tats,Forwards Cap,Hat,Platinum,Dirty Tee,Gold Cuban,Snake Bites,Designer Shades 2,Stache
3723,1459,Green,Male,Shade 5,None,None,Bowl Cut,Blonde,Collard Tee,Black Choker,Surgical Mask,Reading Glasses,Handlebars
3724,1643,Sand,Male,Shade 5,None,Winter Hat,Hat,Black,White Tee,None,Wizard Pipe,Silver Piercings,Full Goat
3725,1109,Orange,Male,Shade 3,None,Backwards Hat,Hat,Brown,Cut Off Sleeves,Black Choker,Pipe,Silver Piercings,None
3726,833,Mauve,Male,Shade 4,None,Trucker Hat,Hat,Blonde,Zip Up Hoodie,Gold Cuban,Blunt,Sunglasses,Dapper Stache
3727,2740,Blue,Male,Shade 6,None,None,Buzzed Braids,Blonde,White Tank,Silver Cuban,Vape,Designer Shades 2,None
3728,2765,Sand,Male,Shade 2,None,None,Mullet,Black,Cut Off Sleeves,None,Quellazaire,Steampunk Shades,Sideburns
3729,1813,Light Purple,Female,Shade 3,None,Sweatband,Hat,Platinum,White Tank,Pearl Necklace,Septum Piercing,None,None
3730,2420,Mauve,Female,Shade 3,None,None,Buzzed Braids,Black,Button up,Silver Cuban,Septum Piercing,Reading Glasses,None
3731,3940,Turquoise,Male,Shade 6,None,None,Mullet,Platinum,Rags,None,Pipe,None,None
3732,4880,Lavender,Male,Shade 2,None,None,Mullet,Blonde,Zip Up Hoodie,None,None,None,None
3733,4626,Sand,Male,Shade 6,None,None,Crew Cut,Platinum,Button up,None,None,None,None
3734,4771,Blue,Male,Shade 7,None,None,Mullet,Black,Button up,None,None,None,None
3735,4135,Blue,Male,Shade 2,None,None,Crew Cut,Blonde,Zip Up Hoodie,None,Cigarette,None,None
3736,279,Blue,Male,Shade 7,None,Forwards Cap,Hat,Rainbow,Dirty Tee,Pearl Necklace,Septum Piercing,Gold Piercings,Sideburns
3737,1685,Sand,Female,Shade 1,None,None,Shoulder Length,Brown,Camo Tee,Silver Cuban,Surgical Mask,Silver Piercings,None
3738,4944,Green,Male,Shade 2,None,None,Mullet,Red,Hoodie,None,None,None,None
3739,1910,Mauve,Female,Shade 3,None,None,Mohawk,Brown,Hawaiian Shirt,Black Choker,Pipe,Gold Piercings,None
3740,3412,Sand,Female,Shade 6,None,None,Dreads,Red,Button up,None,Septum Piercing,Reading Glasses,None
3741,3985,Yellow,Male,Shade 6,None,None,Buzzed Braids,Brown,Zip Up Hoodie,None,Septum Piercing,None,None
3742,4096,Blue,Male,Shade 7,None,None,Shaggy,Brown,Zip Up Hoodie,None,Cigarette,None,None
3743,4514,Light Purple,Male,Shade 5,None,None,Mullet,Blonde,Shirtless,None,None,None,None
3744,2097,Sand,Female,Shade 3,None,None,Spikey,Red,Hoodie,Silver Cuban,Snake Bites,Silver Piercings,None
3745,3164,Lavender,Female,Shade 3,None,None,Top Dreads,Platinum,Rags,None,Septum Piercing,Reading Glasses,None
3746,3660,Yellow,Male,Shade 7,None,None,Mohawk,Black,White Tank,Gold Cuban,Pipe,None,None
3747,329,Orange,Male,Shade 4,None,Bucket Hat,Hat,Red,Collard Tee,Pink Choker,Wizard Pipe,Gold Piercings,Sideburns
3748,4806,Turquoise,Male,Shade 6,None,None,Bowl Cut,Red,White Tank,None,None,None,None
3749,1046,Lavender,Female,Shade 5,None,Beanie,Hat,Red,Ripped Up Tee,Gold Cuban,Snake Bites,Reading Glasses,None
3750,1315,Deco,Male,Shade 1,None,Trucker Hat,Hat,Black,Hoodie,Gold Cuban,Blunt,Shutter Shades,None
3751,1565,Pink,Male,Shade 5,None,Bucket Hat,Hat,Blonde,Button up,Gold Cuban,Quellazaire,None,Quarter Goat
3752,4462,Deco,Male,Shade 3,None,None,Top Dreads,Brown,Shirtless,None,None,None,None
3753,2053,Yellow,Female,Shade 3,None,Sweatband,Hat,Red,Collard Tee,Gold Cuban,Cigarette,None,None
3754,3136,Lavender,Female,Shade 7,None,None,Crew Cut,Platinum,Turtleneck,None,Cigarette,3D Glasses,None
3755,891,Deco,Male,Shade 2,None,Forwards Cap,Hat,Green,Button up,Bling,Wizard Pipe,None,5 o'clock
3756,4589,Deco,Male,Shade 6,None,None,Bald,Red,White Tank,None,None,None,None
3757,4175,Mauve,Female,Shade 1,None,None,Shoulder Length,Blonde,Button up,None,None,None,None
3758,4807,Orange,Male,Shade 2,None,None,Bowl Cut,Red,Zip Up Hoodie,None,None,None,None
3759,4932,Deco,Male,Shade 2,None,None,Mohawk,Brown,Zip Up Hoodie,None,None,None,None
3760,1994,Lavender,Male,Shade 7,None,None,Buzzed Braids,Blonde,Zip Up Hoodie,Silver Cuban,Pipe,Sunglasses,Quarter Goat
3761,4856,Turquoise,Male,Shade 2,None,None,Bowl Cut,Brown,Hoodie,None,None,None,None
3762,3268,Lavender,Female,Shade 3,None,None,Mohawk,Blonde,Turtleneck,None,Septum Piercing,Eyepatch,None
3763,1513,Light Purple,Female,Shade 6,None,None,Shaggy,Brown,Dirty Tee,Pearl Necklace,Quellazaire,Future Shades,None
3764,4372,Green,Female,Shade 1,None,None,Bowl Cut,Brown,Hoodie,None,None,None,None
3765,4590,Pink,Male,Shade 4,None,None,Bald,Red,White Tee,None,None,None,None
3766,1666,Orange,Female,Shade 3,None,Sweatband,Hat,Blonde,Dirty Tee,Pearl Necklace,Vape,None,None
3767,206,Pine,Female,Shade 4,Street Tats,Sweatband,Hat,Red,White Tee,Bling,Pipe,None,None
3768,4467,Orange,Female,Shade 5,None,None,Shaggy,Black,Zip Up Hoodie,None,None,None,None
3769,257,Yellow,Male,Shade 1,None,Bucket Hat,Hat,Green,White Tee,Bling,Snake Bites,Shutter Shades,Half Goat
3770,725,Blue,Male,Shade 1,None,Bucket Hat,Hat,Red,Hoodie,Pearl Necklace,Septum Piercing,Designer Shades,Pencil Jaw
3771,4393,Pink,Male,Shade 2,None,None,Crew Cut,Platinum,Shirtless,None,None,None,None
3772,1559,Lavender,Female,Shade 5,None,None,Spikey,Black,Leather Jacket,Pearl Necklace,Septum Piercing,Gold Piercings,None
3773,2165,Mauve,Male,Shade 2,None,Sweatband,Hat,Blonde,Turtleneck,None,Cigarette,Designer Shades 2,5 o'clock
3774,645,Deco,Male,Shade 3,None,Backwards Hat,Hat,Black,Zip Up Hoodie,Gold Cuban,Wizard Pipe,Shutter Shades,Chinstrap
3775,4693,Orange,Male,Shade 5,None,None,Mullet,Platinum,Hoodie,None,None,None,None
3776,1243,Deco,Female,Shade 1,None,Forwards Cap,Hat,Blonde,White Tee,Gold Cuban,Septum Piercing,Reading Glasses,None
3777,2329,Blue,Female,Shade 3,None,None,Mohawk,Black,Hoodie,Gold Cuban,Snake Bites,Steampunk Shades,None
3778,2689,Blue,Male,Shade 4,None,None,Top Dreads,Black,Striped Tee,Silver Cuban,Quellazaire,None,Half Goat
3779,287,Light Purple,Male,Shade 4,None,Sweatband,Hat,Green,Striped Tee,Black Choker,Pipe,Future Shades,Chinstrap
3780,3987,Pink,Female,Shade 4,None,None,Dreads,Brown,Rags,None,None,None,None
3781,4166,Orange,Female,Shade 5,None,None,Shoulder Length,Platinum,Hoodie,None,None,None,None
3782,3490,Turquoise,Female,Shade 1,None,None,Dreads,Blonde,White Tank,None,Pipe,Designer Shades 2,None
3783,264,Blue,Female,Shade 2,None,Horns,Hat,Blue,Leather Jacket,Bling,Wizard Pipe,Designer Shades 2,None
3784,132,Turquoise,Male,Shade 5,Street Tats,Trucker Hat,Hat,Platinum,Camo Tee,Pink Choker,Wizard Pipe,None,Chinstrap
3785,3130,Sand,Male,Shade 3,None,Backwards Hat,Hat,Brown,Button up,None,None,Shutter Shades,None
3786,4593,Yellow,Male,Shade 5,None,None,Bald,Red,White Tank,None,None,None,None
3787,1837,Pine,Male,Shade 4,None,None,Mohawk,Black,Button up,Gold Cuban,Surgical Mask,Silver Piercings,Full Goat
3788,546,Yellow,Female,Shade 6,None,Bucket Hat,Hat,Blonde,White Tank,Pink Choker,Hay,Cyborg Glasses,None
3789,1266,Blue,Male,Shade 6,None,None,Bald,Platinum,Ripped Up Tee,Gold Cuban,Quellazaire,Shutter Shades,Chinstrap
3790,2448,Orange,Female,Shade 5,None,None,Buzzed Braids,Brown,Hoodie,Gold Cuban,Vape,Reading Glasses,None
3791,3065,Lavender,Male,Shade 1,None,None,Dreads,Pink,Hoodie,None,Snake Bites,Designer Shades,None
3792,2611,Lavender,Male,Shade 1,None,None,Dreads,Platinum,White Tank,Silver Cuban,None,Eyepatch,Full Goat
3793,4257,Mauve,Female,Shade 3,None,None,Shaggy,Platinum,White Tee,None,None,None,None
3794,1742,Pink,Male,Shade 6,None,None,Mullet,Red,White Tank,Black Choker,Blunt,Sunglasses,Sideburns
3795,1457,Sand,Female,Shade 6,None,None,Shoulder Length,Blonde,Dirty Tee,Pearl Necklace,Snake Bites,Silver Piercings,None
3796,783,Turquoise,Male,Shade 6,None,Winter Hat,Hat,Black,Ripped Up Tee,Silver Cuban,Pipe,Steampunk Shades,Quarter Goat
3797,1790,Blue,Male,Shade 3,None,Beanie,Hat,Black,White Tee,None,Snake Bites,Shutter Shades,Quarter Goat
3798,3381,Light Purple,Female,Shade 5,None,None,Mohawk,Brown,Hoodie,Silver Cuban,Vape,None,None
3799,493,Light Purple,Male,Shade 1,None,Trucker Hat,Hat,Brown,Zip Up Hoodie,Bling,Cigarette,Gold Piercings,Chinstrap
3800,1774,Pine,Male,Shade 3,None,Sweatband,Hat,Brown,Zip Up Hoodie,Gold Cuban,Septum Piercing,None,Chinstrap
3801,4458,Pink,Female,Shade 7,None,None,Crew Cut,Black,Zip Up Hoodie,None,None,None,None
3802,1132,Turquoise,Female,Shade 4,None,Sweatband,Hat,Brown,Ripped Up Tee,Gold Cuban,Blunt,Reading Glasses,None
3803,1278,Light Purple,Female,Shade 5,None,Bucket Hat,Hat,Green,Turtleneck,None,Surgical Mask,Bridge Piercing,None
3804,2489,Yellow,Female,Shade 6,None,None,Shaggy,Brown,Button up,Gold Cuban,Blunt,Designer Shades 2,None
3805,2983,Turquoise,Female,Shade 4,None,Sweatband,Hat,Red,Camo Tee,None,Surgical Mask,None,None
3806,2169,Deco,Male,Shade 2,None,None,Top Dreads,Black,Button up,Gold Cuban,Cigarette,Bridge Piercing,5 o'clock
3807,3650,Deco,Male,Shade 6,None,None,Shaggy,Blonde,Shirtless,None,None,Designer Shades 2,5 o'clock
3808,1624,Turquoise,Male,Shade 2,None,None,Top Dreads,Platinum,White Tee,Silver Cuban,Hydration Pack,Bridge Piercing,Pencil Jaw
3809,2982,Light Purple,Female,Shade 1,None,None,Shoulder Length,Platinum,Striped Tee,None,Blunt,Eyepatch,None
3810,4469,Deco,Female,Shade 4,None,None,Mullet,Black,Zip Up Hoodie,None,None,None,None
3811,4744,Green,Male,Shade 6,None,None,Bowl Cut,Brown,White Tee,None,None,None,None
3812,1897,Lavender,Female,Shade 6,None,Forwards Cap,Hat,Black,Hawaiian Shirt,None,Snake Bites,Silver Piercings,None
3813,2392,Yellow,Female,Shade 4,None,None,Crew Cut,Platinum,Zip Up Hoodie,Gold Cuban,Pipe,Gold Piercings,None
3814,3519,Lavender,Female,Shade 3,None,None,Mohawk,Blonde,Button up,None,Septum Piercing,Designer Shades 2,None
3815,3211,Blue,Female,Shade 6,None,None,Buzzed Braids,Brown,Zip Up Hoodie,None,Snake Bites,Sunglasses,None
3816,761,Orange,Female,Shade 2,None,Beanie,Hat,Platinum,Dirty Tee,Black Choker,Snake Bites,Gold Piercings,None
3817,2893,Light Purple,Male,Shade 6,None,None,Spikey,Black,Hoodie,None,Surgical Mask,Designer Shades,Half Goat
3818,3752,Green,Female,Shade 5,None,None,Shaggy,Red,White Tank,Gold Cuban,None,None,None
3819,3374,Pine,Female,Shade 4,None,None,Mullet,Blonde,Zip Up Hoodie,Silver Cuban,Pipe,None,None
3820,2216,Deco,Male,Shade 1,None,None,Buzzed Braids,Brown,Collard Tee,Black Choker,Septum Piercing,Steampunk Shades,None
3821,4822,Deco,Male,Shade 7,None,None,Bowl Cut,Black,White Tee,None,None,None,None
3822,1999,Pine,Female,Shade 4,None,None,Buzzed Braids,Platinum,White Tee,Black Choker,Septum Piercing,Bridge Piercing,None
3823,3035,Green,Male,Shade 5,None,None,Buzzed Braids,Blonde,White Tee,None,Blunt,Steampunk Shades,Handlebars
3824,3647,Light Purple,Male,Shade 2,None,None,Top Dreads,Blonde,Button up,None,None,Bridge Piercing,Sideburns
3825,3740,Blue,Male,Shade 6,None,None,Mohawk,Brown,White Tank,None,Pipe,Designer Shades 2,None
3826,4945,Pine,Male,Shade 7,None,None,Mohawk,Blonde,Zip Up Hoodie,None,None,None,None
3827,3970,Light Purple,Male,Shade 3,None,None,Buzzed Braids,Brown,White Tee,None,Septum Piercing,None,None
3828,4092,Turquoise,Male,Shade 3,None,None,Shaggy,Blonde,Button up,None,Cigarette,None,None
3829,1783,Deco,Male,Shade 1,None,Cowboy Hat,Hat,Platinum,Zip Up Hoodie,None,Snake Bites,Designer Shades,5 o'clock
3830,2784,Sand,Male,Shade 2,None,None,Mullet,Platinum,White Tee,Silver Cuban,Pipe,Designer Shades 2,None
3831,1489,Blue,Male,Shade 6,None,Backwards Hat,Hat,Black,Cut Off Sleeves,None,Cigarette,Cyborg Glasses,Quarter Goat
3832,3827,Lavender,Female,Shade 1,None,None,Crew Cut,Brown,Turtleneck,None,Blunt,None,None
3833,2924,Mauve,Male,Shade 3,None,None,Top Dreads,Blonde,White Tee,Gold Cuban,None,Designer Shades 2,5 o'clock
3834,2622,Mauve,Female,Shade 5,None,Cowboy Hat,Hat,Red,Dress,None,None,Designer Shades,None
3835,1833,Lavender,Male,Shade 5,None,Cowboy Hat,Hat,Red,Button up,None,Vape,Sunglasses,Quarter Goat
3836,4572,Pink,Male,Shade 2,None,None,Bald,Platinum,White Tee,None,None,None,None
3837,2116,Pine,Female,Shade 4,None,None,Mohawk,Platinum,Camo Tee,Gold Cuban,Pipe,Silver Piercings,None
3838,4162,Deco,Female,Shade 4,None,None,Shoulder Length,Brown,Button up,None,None,None,None
3839,2718,Green,Female,Shade 1,None,None,Shoulder Length,Blonde,White Tee,Black Choker,None,Gold Piercings,None
3840,4282,Lavender,Female,Shade 5,None,None,Shaggy,Platinum,Hoodie,None,None,None,None
3841,2067,Orange,Female,Shade 5,None,Beanie,Hat,Black,Dress,None,Pipe,Designer Shades,None
3842,2312,Blue,Male,Shade 2,None,Cowboy Hat,Hat,Blonde,Leather Jacket,Silver Cuban,None,None,Handlebars
3843,4585,Mauve,Male,Shade 3,None,None,Bald,Blonde,Button up,None,None,None,None
3844,1595,Orange,Male,Shade 6,None,None,Spikey,Platinum,Button up,Gold Cuban,Quellazaire,Steampunk Shades,5 o'clock
3845,3298,Sand,Female,Shade 2,None,None,Mohawk,Brown,Hoodie,None,Surgical Mask,Steampunk Shades,None
3846,1290,Deco,Male,Shade 3,None,Bucket Hat,Hat,Blonde,Cut Off Sleeves,None,Hay,3D Glasses,Pencil Jaw
3847,4157,Pink,Female,Shade 4,None,None,Shoulder Length,Platinum,White Tee,None,None,None,None
3848,2346,Sand,Female,Shade 5,None,Sweatband,Hat,Platinum,White Tee,None,Pipe,Bridge Piercing,None
3849,4084,Turquoise,Male,Shade 5,None,None,Crew Cut,Blonde,Button up,None,Pipe,None,None
3850,3839,Yellow,Female,Shade 7,None,None,Shoulder Length,Black,Button up,None,Blunt,None,None
3851,306,Light Purple,Female,Shade 5,None,Cowboy Hat,Hat,Blue,Dirty Tee,Black Choker,Wizard Pipe,Designer Shades,None
3852,2287,Sand,Female,Shade 4,None,None,Mohawk,Blonde,Hoodie,Black Choker,Vape,Silver Piercings,None
3853,38,Deco,Male,Shade 5,Street Tats,Winter Hat,Hat,Green,White Tee,Pink Choker,Hydration Pack,Designer Shades 2,Quarter Goat
3854,400,Blue,Male,Shade 6,None,Trucker Hat,Hat,Platinum,Striped Tee,Black Choker,Surgical Mask,Designer Shades,Half Goat
3855,4797,Light Purple,Male,Shade 5,None,None,Mullet,Red,White Tee,None,None,None,None
3856,31,Turquoise,Male,Shade 3,Street Tats,Horns,Hat,Rainbow,Striped Tee,Black Choker,Blunt,Future Shades,Chinstrap
3857,339,Orange,Female,Shade 1,None,Sweatband,Hat,Green,Camo Tee,Pink Choker,Septum Piercing,Designer Shades,None
3858,3897,Pine,Female,Shade 4,None,None,Bowl Cut,Blonde,Hoodie,None,Vape,None,None
3859,814,Pink,Male,Shade 1,None,Sweatband,Hat,Black,Collard Tee,Silver Cuban,Septum Piercing,Designer Shades 2,Dapper Stache
3860,1155,Light Purple,Female,Shade 6,None,Beanie,Hat,Blonde,Zip Up Hoodie,Silver Cuban,Vape,Future Shades,None
3861,4958,Yellow,Male,Shade 6,None,None,Mohawk,Brown,Hoodie,None,None,None,None
3862,2984,Green,Female,Shade 3,None,None,Shaggy,Black,Dirty Tee,Black Choker,Septum Piercing,None,None
3863,559,Yellow,Male,Shade 6,None,Bucket Hat,Hat,Red,Camo Tee,Pearl Necklace,Septum Piercing,Eyepatch,5 o'clock
3864,1152,Deco,Male,Shade 6,None,Bucket Hat,Hat,Green,Dirty Tee,Pink Choker,Hydration Pack,None,None
3865,1704,Lavender,Male,Shade 4,None,None,Bald,Black,Hoodie,Black Choker,Pipe,Steampunk Shades,Quarter Goat
3866,4199,Light Purple,Female,Shade 1,None,None,Shoulder Length,Red,Hoodie,None,None,None,None
3867,1498,Blue,Male,Shade 5,None,Beanie,Hat,Platinum,Leather Jacket,Silver Cuban,Vape,None,Quarter Goat
3868,4755,Orange,Male,Shade 7,None,None,Shaggy,Brown,White Tee,None,None,None,None
3869,3120,Lavender,Female,Shade 6,None,None,Shoulder Length,Platinum,White Tee,Gold Cuban,Blunt,None,None
3870,4938,Mauve,Male,Shade 6,None,None,Mohawk,Blonde,White Tank,None,None,None,None
3871,3857,Orange,Female,Shade 5,None,None,Dreads,Platinum,Hoodie,None,Pipe,None,None
3872,2093,Green,Male,Shade 3,None,Horns,Hat,Platinum,Dirty Tee,None,Hydration Pack,Silver Piercings,None
3873,4479,Pine,Female,Shade 7,None,None,Mohawk,Black,White Tee,None,None,None,None
3874,362,Pine,Male,Shade 4,None,Bucket Hat,Hat,Red,Leather Jacket,Black Choker,Wizard Pipe,Bridge Piercing,Dapper Stache
